country,volatility_std,high_volatility_periods,extreme_positive_count,extreme_negative_count,crisis_events,total_extreme_events,max_positive_extreme,max_negative_extreme,avg_extreme_magnitude,stability_inverse_volatility,time_in_normal_range,recovery_speed,consistency_score,cluster
Anguilla,0.9098508511995641,2,1,1,1,2,1.75,-2.42,0.15666666666666665,1.0978745847171676,0.7857142857142857,0.5,0.6728778467908902,0
St. Lucia,0.8859311370483807,4,0,1,1,1,0.0,-2.82,-1.9449999999999998,1.12748324895651,0.8571428571428571,1.0,0.5699254712845244,0
St. Vincent and the Grenadines,0.8712602296415819,3,2,0,1,2,2.15,0.0,1.6366666666666667,1.1464468584230962,0.7857142857142857,0.5,0.5877034358047016,0
San Marino,0.8159234783047854,7,1,1,0,2,1.68,-1.71,-0.015000000000000013,1.224104859949821,0.8571428571428571,1.0,0.5030959752321982,0
Sao Tome and Principe,0.8239752448233093,2,0,1,1,1,0.0,-2.32,-1.5466666666666669,1.2121575844547638,0.7857142857142857,0.6666666666666666,0.660233621127476,0
Saudi Arabia,1.6630899914193544,17,3,6,4,9,1.9,-6.99,-1.1770000000000003,0.6009290393887105,0.696969696969697,0.8,0.42216358839050133,1
Guinea,0.8022948778385147,7,1,0,0,1,1.97,0.0,0.1375,1.2448728699612457,0.8461538461538461,0.6666666666666666,0.5542008423852804,0
Senegal,0.6061983224456049,9,1,0,0,1,1.66,0.0,0.82,1.6469083708471275,0.8918918918918919,0.75,0.5827128520556815,0
Serbia,0.5800914776558777,1,1,0,0,1,1.83,0.0,1.83,1.7208994426041127,0.9285714285714286,1.0,0.7008086253369272,0
Seychelles,0.6306139703430592,4,0,0,0,0,0.0,0.0,-0.07999999999999996,1.5832455375501797,0.8571428571428571,1.0,0.5764966740576496,0
Sierra Leone,1.6205077624507898,4,1,1,1,2,1.92,-5.34,-0.2999999999999999,0.6167099678194409,0.7142857142857143,1.0,0.42125729099157494,0
Singapore,0.9232307956523204,3,0,1,1,1,0.0,-2.18,-0.8125000000000001,1.0819808263305075,0.7142857142857143,0.5,0.5979760809567617,0
Slovak Republic,1.0518660666749462,7,3,1,2,4,2.3,-3.36,0.39999999999999997,0.9497884219576928,0.75,0.5,0.48780487804878053,0
Viet Nam,1.2537831639570785,11,3,1,2,4,3.48,-2.89,0.14899999999999997,0.7969504442874453,0.5833333333333334,0.5555555555555556,0.4493065051767924,0
Slovenia,1.100694777427219,7,0,2,1,2,0.0,-3.94,-0.026666666666666616,0.9076924212487363,0.75,0.16666666666666666,0.46,0
Somalia,1.0969768439484593,23,3,3,4,6,3.79,-3.58,0.08933333333333335,0.9107660198040949,0.7222222222222222,0.7333333333333333,0.46548392763042334,1
South Africa,0.9222387869555743,14,2,2,3,4,2.77,-2.56,-0.02111111111111113,1.0831434013919081,0.7954545454545454,1.0,0.5324418028727093,0
Zimbabwe,6.669727681617801,6,3,1,2,4,6.69,-24.08,-1.894285714285714,0.14990868278968292,0.5,0.3333333333333333,0.22604764388801943,1
Spain,1.244887252257542,8,2,2,2,4,2.6,-3.99,0.308888888888889,0.8026408474667388,0.625,0.5555555555555556,0.4267953238077566,0
South Sudan,2.142840419208995,15,8,0,7,8,10.66,0.0,3.1166666666666667,0.4664526291415694,0.7209302325581395,0.5833333333333334,0.39495956366372015,1
Sudan,4.51928165223683,25,6,5,7,11,27.02,-7.53,1.0904545454545453,0.22122515297363315,0.4883720930232558,0.38095238095238093,0.2933780385582565,1
Suriname,0.4084221755357902,2,0,0,0,0,0.0,0.0,0.0,2.4424666267559894,1.0,1.0,0.6490264603095357,0
Eswatini,0.8718246693758047,8,3,2,1,5,2.0,-2.83,0.4755555555555555,1.1457054722286253,0.7954545454545454,0.5555555555555556,0.5955678670360111,0
Sweden,0.8740989529749116,4,0,1,0,1,0.0,-1.61,-0.33199999999999996,1.1427279127697336,0.6428571428571429,0.25,0.5250403877221325,0
Switzerland,0.9209134772892952,4,0,2,0,2,0.0,-1.8,-0.43599999999999994,1.0847004893998327,0.6428571428571429,0.75,0.5212510024057738,0
Syrian Arab Republic,0.6295794214663344,5,1,0,0,1,1.59,0.0,1.315,1.5858430610923264,0.8181818181818182,1.0,0.5414185165132648,0
Tajikistan,0.608238087781891,3,0,0,0,0,0.0,0.0,-0.06499999999999995,1.6413944237150235,0.8571428571428571,0.5,0.552956188855806,0
Thailand,0.8260598204667864,11,2,1,1,3,2.74,-1.67,0.35857142857142865,1.2091023832297976,0.7941176470588235,0.8333333333333334,0.5542492442055761,0
